gel;sample;E_Maximum;E_Maximum_corrected;E_Minimum;E_Minimum_corrected;E_Mean;E_Mean_corrected;E_Std;E_Std_corrected
20-1;20-1.1.CSV;398662,18;264835,08;385844,55;252017,45;391039,81;257212,72;4552,86;4552,86
20-1;20-1.2.CSV;457640,28;307650,63;441889,8;291900,14;448439,48;298449,82;5244,46;5244,46
20-2;20-2.1.CSV;606747,94;472920,84;576186,28;442359,19;590638,94;456811,84;11415,38;11415,38
20-2;20-2.2.CSV;662856,35;512866,69;654103,49;504113,84;660168,05;510178,4;2858,36;2858,36
20-3;20-3.1.CSV;464334,04;375115,98;437253,5;348035,43;449250,9;360032,83;8129,78;8129,78
20-3;20-3.2.CSV;498365,14;398372,03;485613,43;385620,33;491474,24;391481,14;4428,2;4428,2
20-4;20-4.1.CSV;271015,3;159492,72;258890,33;147367,75;265749,18;154226,6;3516,19;3516,19
20-4;20-4.2.CSV;268009,41;143018,03;258178,76;133187,38;262210,99;137219,61;3102,38;3102,38
20-5;20-5.1.CSV;;;;;;;;
20-5;20-5.2.CSV;;;;;;;;
20-6;20-6.1.CSV;184794,55;117881,0;167218,04;100304,5;177268,56;110355,01;5838,77;5838,77
20-6;20-6.1tdf.CSV;185202,34;100304,5;167557,07;100304,5;177655,26;100304,5;5862,14;0,0
20-6;20-6.2.CSV;159456,73;84461,9;150277,82;75282,99;154677,81;79682,99;2663,89;2663,89
20RGD-1;20RGD-1.1.CSV;502815,75;413597,68;464767,18;375549,11;479583,06;390365,0;13315,26;13315,26
20RGD-1;20RGD-1.2.CSV;678931,4;578938,29;667965,06;567971,96;672406,42;572413,31;3370,05;3370,05
20RGD-2;20RGD-2.1.CSV;;;;;;;;
20RGD-2;20RGD-2.2.CSV;;;;;;;;
20RGD-3;20RGD-3.1.CSV;450131,51;338608,93;421337,19;309814,61;436922,51;325399,93;8304,63;8304,63
20RGD-3;20RGD-3.2.CSV;441108,28;316116,89;431701,94;306710,56;435382,82;310391,44;2920,4;2920,4
20RGD-5;20RGD-5.1.CSV;325096,8;191269,7;299150,84;165323,74;313320,62;179493,52;6982,76;6982,76
20RGD-5;20RGD-5.2.CSV;328650,34;178660,68;307869,17;157879,51;318669,14;168679,48;6792,86;6792,86
20RGD-6;20RGD-6.1.CSV;277666,93;143839,84;244873,72;111046,63;264390,6;130563,5;9193,7;9193,7
20RGD-6;20RGD-6.2.CSV;288298,42;138308,76;271533,18;121543,53;280460,59;130470,94;4997,28;4997,28
20RGD-7;20RGD-7.1.CSV;606249,48;517031,41;573383,56;484165,5;589285,93;500067,87;9831,89;9831,89
20RGD-7;20RGD-7.2.CSV;624758,66;524765,56;594464,17;494471,06;610422,12;510429,01;8167,99;8167,99
20RGD-8;20RGD-8.1.CSV;463952,8;374734,74;440341,09;351123,03;453740,43;364522,36;7075,59;7075,59
20RGD-8;20RGD-8.2.CSV;467311,33;367318,22;443210,91;343217,8;454703,02;354709,91;7868,37;7868,37
40-1;40-1.1.CSV;113214,08;68605,04;87500,68;42891,65;100507,74;55898,71;7479,73;7479,73
40-1;40-1.2.CSV;128730,13;78733,58;109924,68;59928,13;116641,8;66645,25;5515,12;5515,12
40-2;40-2.1.CSV;124327,36;79718,33;109550,08;64941,05;119264,44;74655,41;3896,07;3896,07
40-2;40-2.1tdf.CSV;124615,68;64941,05;109808,42;64941,05;119529,01;64941,05;3899,68;0,0
40-2;40-2.2.CSV;181024,3;131027,75;159531,74;109535,18;170785,07;120788,52;6802,43;6802,43
40-3;40-3.1.CSV;;;;;;;;
40-3;40-3.2.CSV;;;;;;;;
40-4;40-4.1.CSV;206092,05;5351,4;180394,49;-20346,16;194774,79;-5965,85;9523,62;9523,62
40-4;40-4.2.CSV;233232,95;8248,46;211585,44;-13399,05;221721,71;-3262,78;6093,46;6093,46
40-5;40-5.1.CSV;146827,77;13000,67;119122,28;-14704,81;129463,66;-4363,44;8671,82;8671,82
40-5;40-5.2.CSV;207510,87;57521,21;161483,71;11494,06;181852,07;31862,42;14286,21;14286,21
40-6;40-6.1.CSV;158351,51;46828,93;129194,4;17671,82;142596,32;31073,74;7615,31;7615,31
40-6;40-6.2.CSV;159926,31;34934,93;136953,69;11962,31;148170,33;23178,95;7399,88;7399,88
40-7;40-7.1.CSV;135500,08;46282,01;99917,97;10699,91;115421,29;26203,22;10301,61;10301,61
40-7;40-7.2.CSV;180236,82;80243,71;160180,12;60187,01;170799,12;70806,01;6995,44;6995,44
40-8;40-8.1.CSV;;;;;;;;
40-8;40-8.2.CSV;;;;;;;;
40RGD-1;40RGD-1.1.CSV;262675,88;173457,82;251473,88;162255,82;257550,16;168332,09;3299,99;3299,99
40RGD-2;40RGD-2.1.CSV;208792,81;119574,75;184283,88;95065,81;194743,0;105524,94;8305,92;8305,92
40RGD-2;40RGD-2.2.CSV;175184,96;75191,85;157182,19;57189,08;166232,6;66239,5;5176,27;5176,27
40RGD-3;40RGD-3.1.CSV;154967,08;21139,98;133994,93;167,83;145479,97;11652,87;5982,65;5982,65
40RGD-3;40RGD-3.2.CSV;141986,07;-8003,58;132832,69;-17156,97;137587,29;-12402,37;3402,16;3402,16
40RGD-4;40RGD-4.1.CSV;187950,98;98732,91;166972,11;77754,04;172979,77;83761,71;5941,5;5941,5
40RGD-4;40RGD-4.2.CSV;224840,51;124847,41;197744,84;97751,74;213484,86;113491,76;7171,46;7171,46
40RGD-5;40RGD-5.1.CSV;218370,09;129152,03;172243,84;83025,77;199966,23;110748,17;15307,34;15307,34
40RGD-5;40RGD-5.1b.CSV;177474,26;99796,86;161315,56;99796,86;169658,37;99796,86;4935,23;0,0
40RGD-5;40RGD-5.2.CSV;186234,11;86241,0;166003,33;66010,22;176729,08;76735,97;6426,47;6426,47
40RGD-6;40RGD-6.1.CSV;121190,23;76581,2;90343,22;45734,19;102873,31;58264,28;8958,81;8958,81
40RGD-6;40RGD-6.2.CSV;93496,38;43499,82;83254,66;33258,11;89562,56;39566,0;2884,49;2884,49
40RGD-7;40RGD-7.1.CSV;239551,52;150333,45;225262,21;136044,14;232473,54;143255,47;4518,58;4518,58
40RGD-7;40RGD-7.2.CSV;236773,22;136780,11;221952,62;121959,52;230463,7;130470,6;3593,0;3593,0
Wasser1;Wasser1.1.CSV;;;;;;;;
Wasser1;Wasser1.2.CSV;;;;;;;;
